Checking model setup.....Please wait                                                                                                                                                                                                                            
Generating External Faces ...... please wait                                                                                                                                                                                                                    
Initializing.....Please wait                                                                                                                                                                                                                                    
Finished model setup.....                                                                                                                                                                                                                                       
Initializing workers....                                                                                                                                                                                                                                        
Cycle:        0, Time:  0.000E+00s, Progress:   0.00%, Time Inc.: 2.712E-09s @ element   32704 in Part Part 4 Est. Clock Time Remaining: -         

Parallel model running on the following machines;

-----------------------------------------------------------------------
|    MACHINE NAME                  |     MASTER     |    WORKER(S)    |
-----------------------------------------------------------------------
|    DESKTOP-HRPNB5U               |        1       |        2        |
-----------------------------------------------------------------------

Cycle:      123, Time:  1.996E-06s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 7406.0 hrs
Cycle:      124, Time:  2.014E-06s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 7398.2 hrs
Cycle:      125, Time:  2.031E-06s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 7385.1 hrs
Cycle:      126, Time:  2.049E-06s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 7381.9 hrs
Cycle:      127, Time:  2.067E-06s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 7369.2 hrs
Cycle:      128, Time:  2.084E-06s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 7357.7 hrs
Cycle:      129, Time:  2.102E-06s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 7345.3 hrs
Cycle:      130, Time:  2.120E-06s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 7337.9 hrs
Cycle:      131, Time:  2.138E-06s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 7349.6 hrs
Cycle:      132, Time:  2.155E-06s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 7346.4 hrs
Cycle:      133, Time:  2.173E-06s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 7340.6 hrs
Cycle:      134, Time:  2.191E-06s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 7361.4 hrs
Cycle:      135, Time:  2.209E-06s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 7370.2 hrs
Cycle:      136, Time:  2.226E-06s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 7359.2 hrs
Cycle:      137, Time:  2.244E-06s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 7359.5 hrs
